Field Name,Field Label,View Type,View Type Name,Description,Input to GPT,New Description
TskChgUBFee,"Hours (<V>$</V>) Marked ""Uninvoiced""",8,<WC@VOCAB>PRJ_TASK</WC@VOCAB> (by assigned Staff Member),Total Unbilled Time Charges (submitted time only).,"Field Name: TskChgUBFee, Field Label: Hours (<V>$</V>) Marked ""Uninvoiced"", View Type, 8, Description: Total Unbilled Time Charges (submitted time only).","{
    ""Field Name"": ""TskChgUBFee"",
    ""View Type"": 8,
    ""Description"": ""TskChgUBFee is a report field that represents the total unbilled time charges for submitted time only. It reports on the unconverted time charges that have not yet been invoiced. This information is useful for tracking the amount of work that has been completed but has not yet been billed to clients, enabling firms to ensure that all billable time is accounted for and invoiced accurately.""
}"
TskCost,Total Fee Cost (Hours*Cost Rate),8,<WC@VOCAB>PRJ_TASK</WC@VOCAB> (by assigned Staff Member),Total Cost (Input Hours*Cost Rate) to date.,"Field Name: TskCost, Field Label: Total Fee Cost (Hours*Cost Rate), View Type, 8, Description: Total Cost (Input Hours*Cost Rate) to date.","{
    ""Field Name"": ""TskCost"",
    ""View Type"": 8,
    ""Description"": ""The TskCost report field represents the total cost incurred to date for a task. It is calculated by multiplying the input hours by the cost rate. This field is used to track the total cost associated with a task, including labor and resource expenses.""
}"
TskCost2,Total Cost (Time+Expense),8,<WC@VOCAB>PRJ_TASK</WC@VOCAB> (by assigned Staff Member),Total Cost (Input Hours*Cost Rate) to date.,"Field Name: TskCost2, Field Label: Total Cost (Time+Expense), View Type, 8, Description: Total Cost (Input Hours*Cost Rate) to date.","{
    ""Field Name"": ""TskCost2"",
    ""View Type"": 8,
    ""Description"": ""TskCost2 is a report field that represents the total cost incurred to date, including both time and expenses. It calculates the total cost by multiplying the input hours with the corresponding cost rate. This field is useful for tracking the overall cost of a project or task and helps in assessing project profitability and budget adherence.""
}"
TskCurrentMargin_ToDt,Current Margin (<V>$</V>),8,<WC@VOCAB>PRJ_TASK</WC@VOCAB> (by assigned Staff Member),This field calculates the current margin based on the billable charges and costs for both fees and expenses for the specified Task. This figure represents [Billable Charges]- [Input Costs].,"Field Name: TskCurrentMargin_ToDt, Field Label: Current Margin (<V>$</V>), View Type, 8, Description: This field calculates the current margin based on the billable charges and costs for both fees and expenses for the specified Task. This figure represents [Billable Charges]- [Input Costs].","{
    ""Field Name"": ""TskCurrentMargin_ToDt"",
    ""View Type"": 8,
    ""Description"": ""The TskCurrentMargin_ToDt report field calculates the current margin for a specified Task based on the billable charges and costs for both fees and expenses. It represents the difference between billable charges and input costs, providing insight into the profitability of the Task.""
}"
TskCurrentMargin_ToDt_Pct,Current Margin (%),8,<WC@VOCAB>PRJ_TASK</WC@VOCAB> (by assigned Staff Member),This field calculates the current margin based on the billable charges and costs for both fees and expenses for the specified Task. This figure represents [Billable Charges]- [Input Costs].,"Field Name: TskCurrentMargin_ToDt_Pct, Field Label: Current Margin (%), View Type, 8, Description: This field calculates the current margin based on the billable charges and costs for both fees and expenses for the specified Task. This figure represents [Billable Charges]- [Input Costs].","{
    ""Field Name"": ""TskCurrentMargin_ToDt_Pct"", 
    ""View Type"": 8, 
    ""Description"": ""The TskCurrentMargin_ToDt_Pct report field represents the current margin percentage for a specific task. It calculates the current margin by comparing the billable charges and costs for both fees and expenses. The formula for this calculation is [Billable Charges] - [Input Costs]. This report field is useful for assessing the profitability of tasks and tracking the financial performance of projects."" 
}"
TskDefaultQBClass,Default QuickBooks Class,8,<WC@VOCAB>PRJ_TASK</WC@VOCAB> (by assigned Staff Member),The default QuickBooks class that this <V>PRJ_TASK</V> is connected to.,"Field Name: TskDefaultQBClass, Field Label: Default QuickBooks Class, View Type, 8, Description: The default QuickBooks class that this <V>PRJ_TASK</V> is connected to.","{
    ""Field Name"": ""TskDefaultQBClass"",
    ""View Type"": 8,
    ""Description"": ""TskDefaultQBClass is the report field that represents the default QuickBooks class connected to a task. This field reports on the specific QuickBooks class associated with the task, providing insight into how financial data is categorized for the task. It would be used to ensure accurate accounting and financial reporting by allocating expenses and income to the correct QuickBooks class within the professional service firm's accounting system.""
}"
TskDefaultQBItem,Default QuickBooks Item,8,<WC@VOCAB>PRJ_TASK</WC@VOCAB> (by assigned Staff Member),The default QuickBooks item that this <V>PRJ_TASK</V> is connected to.,"Field Name: TskDefaultQBItem, Field Label: Default QuickBooks Item, View Type, 8, Description: The default QuickBooks item that this <V>PRJ_TASK</V> is connected to.","{
    ""Field Name"": ""TskDefaultQBItem"",
    ""View Type"": 8,
    ""Description"": ""The Default QuickBooks Item report field represents the default QuickBooks item that is connected to a specific project task. This field reports on the mapping between project tasks and QuickBooks items. It is used to ensure accurate synchronization between project tasks and corresponding QuickBooks items, facilitating seamless integration and financial management within the professional service firm.""
}"
TskEarnedVal,Earned Charges (Percent Complete*Budget),8,<WC@VOCAB>PRJ_TASK</WC@VOCAB> (by assigned Staff Member),[Percent Complete] * [Dollar Estimate].  This indicates the total billable amount that should have been expended to date based on your estimate.,"Field Name: TskEarnedVal, Field Label: Earned Charges (Percent Complete*Budget), View Type, 8, Description: [Percent Complete] * [Dollar Estimate].  This indicates the total billable amount that should have been expended to date based on your estimate.","{
    ""Field Name"": ""TskEarnedVal"",
    ""View Type"": 8,
    ""Description"": ""The Earned Charges field calculates the total billable amount that should have been expended to date based on the percentage of completion multiplied by the budget estimate. This provides insight into the progress of the project and helps in evaluating the accuracy of the budget estimate.""
}"
TskEarnedWk,Earned Hours (Percent Complete*Budget),8,<WC@VOCAB>PRJ_TASK</WC@VOCAB> (by assigned Staff Member),[Percent Complete] * [Hourly Estimate].  This indicates the total hours that should have been input to date based on your estimate.,"Field Name: TskEarnedWk, Field Label: Earned Hours (Percent Complete*Budget), View Type, 8, Description: [Percent Complete] * [Hourly Estimate].  This indicates the total hours that should have been input to date based on your estimate.","{
    ""Field Name"": ""TskEarnedWk"",
    ""View Type"": 8,
    ""Description"": ""Earned Hours (Percent Complete * Budget) calculates the total hours that should have been input to date based on your estimate. It is derived by multiplying the percent complete by the hourly estimate.""
}"
TskEarnedWk2,Actual vs. Earned Charges (%),8,<WC@VOCAB>PRJ_TASK</WC@VOCAB> (by assigned Staff Member),">100% means that you have logged more WIP than you have budgeted (based on your current ""percent complete"" estimate).","Field Name: TskEarnedWk2, Field Label: Actual vs. Earned Charges (%), View Type, 8, Description: >100% means that you have logged more WIP than you have budgeted (based on your current ""percent complete"" estimate).","{
    ""Field Name"": ""TskEarnedWk2"",
    ""View Type"": 8,
    ""Description"": ""TskEarnedWk2 is a report field that represents the Actual vs. Earned Charges (%) for week 2. This field reports on the comparison between the actual charges and the earned charges as a percentage. It is used to track the percentage of work in progress (WIP) completed compared to the budgeted amount based on the current 'percent complete' estimate. A percentage greater than 100% indicates that more WIP has been logged than budgeted.""
}"
TskEarnedWk3,Actual vs. Earned Hours (%),8,<WC@VOCAB>PRJ_TASK</WC@VOCAB> (by assigned Staff Member),">100% means that you have logged more time than you have budgeted (based on your current ""percent complete"" estimate).","Field Name: TskEarnedWk3, Field Label: Actual vs. Earned Hours (%), View Type, 8, Description: >100% means that you have logged more time than you have budgeted (based on your current ""percent complete"" estimate).","{
    ""Field Name"": ""TskEarnedWk3"", 
    ""View Type"": 8, 
    ""Description"": ""The TskEarnedWk3 report field calculates the actual versus earned hours as a percentage for Week 3. It provides insight into whether the logged time exceeds the budgeted time, based on the current 'percent complete' estimate. A percentage greater than 100% indicates that more time has been logged than budgeted.""
}"
TskExpBill,Total Billable Expenses,8,<WC@VOCAB>PRJ_TASK</WC@VOCAB> (by assigned Staff Member),Total billable expenses entered to date.,"Field Name: TskExpBill, Field Label: Total Billable Expenses, View Type, 8, Description: Total billable expenses entered to date.","{
    ""Field Name"": ""TskExpBill"",
    ""View Type"": 8,
    ""Description"": ""The Total Billable Expenses report field provides the sum of all billable expenses entered to date. This includes expenses related to tasks that are billable to clients. It is used to track the total expenses that can be invoiced to clients, helping to ensure accurate billing and project cost recovery."" 
}"
TskExpEst,Expense Estimate,8,<WC@VOCAB>PRJ_TASK</WC@VOCAB> (by assigned Staff Member),Total EXPENSE DOLLARS estimated for each item in the report,"Field Name: TskExpEst, Field Label: Expense Estimate, View Type, 8, Description: Total EXPENSE DOLLARS estimated for each item in the report","{
    ""Field Name"": ""TskExpEst"",
    ""View Type"": 8,
    ""Description"": ""The Expense Estimate report field represents the total EXPENSE DOLLARS estimated for each item in the report. It provides an overview of the estimated expenses associated with each task or item, allowing for accurate budgeting and cost forecasting within professional service firms.""
}"
TskExpIN,Total Input Expenses,8,<WC@VOCAB>PRJ_TASK</WC@VOCAB> (by assigned Staff Member),Total expense cost entered to date (e.g. - amounts from vendor bills or from user expense reports).,"Field Name: TskExpIN, Field Label: Total Input Expenses, View Type, 8, Description: Total expense cost entered to date (e.g. - amounts from vendor bills or from user expense reports).","{
    ""Field Name"": ""TskExpIN"", ""View Type"": 8, ""Description"": ""The Total Input Expenses report field, with a view type of 8, displays the total expense cost entered to date. This can include amounts from vendor bills or from user expense reports. This field provides a comprehensive overview of the total input expenses for a given project or time period, assisting in expense management and budget tracking.""
}"
TskExpNC,Total Non-Billable Expenses,8,<WC@VOCAB>PRJ_TASK</WC@VOCAB> (by assigned Staff Member),[Expense Costs] - [Billable Expenses],"Field Name: TskExpNC, Field Label: Total Non-Billable Expenses, View Type, 8, Description: [Expense Costs] - [Billable Expenses]","{
    ""Field Name"": ""TskExpNC"",
    ""View Type"": 8,
    ""Description"": ""Total Non-Billable Expenses is the calculated total of all expenses that are not billable to clients. It is derived by subtracting the total amount of billable expenses from the total expense costs. This report field is useful for tracking the non-billable expenses incurred by a professional service firm, which is essential for cost analysis and profitability assessment.""
}"
TskExpWriteup,Total Expense Costs,8,<WC@VOCAB>PRJ_TASK</WC@VOCAB> (by assigned Staff Member),Total expense cost entered to date (e.g. - amounts from vendor bills or from user expense reports).,"Field Name: TskExpWriteup, Field Label: Total Expense Costs, View Type, 8, Description: Total expense cost entered to date (e.g. - amounts from vendor bills or from user expense reports).","{
    ""Field Name"": ""TskExpWriteup"", ""View Type"": 8, ""Description"": ""The Total Expense Costs report field represents the sum of all expense costs entered to date. This includes amounts from vendor bills or user expense reports. It provides a comprehensive view of the total expenses incurred for a task or project, allowing for accurate tracking and analysis of project costs and budget allocation.""
}"
TskFeeEst,Fee Estimate,8,<WC@VOCAB>PRJ_TASK</WC@VOCAB> (by assigned Staff Member),Total FEE DOLLARS estimated for each item in the report,"Field Name: TskFeeEst, Field Label: Fee Estimate, View Type, 8, Description: Total FEE DOLLARS estimated for each item in the report","{
    ""Field Name"": ""TskFeeEst"", ""View Type"": 8, ""Description"": ""The TskFeeEst field reports the total FEE DOLLARS estimated for each item in the report. This field would be used to track and analyze the estimated costs associated with tasks and projects within professional service firms.""
}"
TskFeeWriteup,WIP Write Up/Down (fees only),8,<WC@VOCAB>PRJ_TASK</WC@VOCAB> (by assigned Staff Member),The difference between what was INPUT for time and what was actually billed (note that this calculation is done on each INVOICE - so you must be invoicing in BigTime for this field to be meaningful).,"Field Name: TskFeeWriteup, Field Label: WIP Write Up/Down (fees only), View Type, 8, Description: The difference between what was INPUT for time and what was actually billed (note that this calculation is done on each INVOICE - so you must be invoicing in BigTime for this field to be meaningful).","{
    ""Field Name"": ""TskFeeWriteup"",
    ""View Type"": 8,
    ""Description"": ""TskFeeWriteup reports on the write up or down of Work In Progress (WIP) fees. It represents the difference between the time input for a task and the amount actually billed. This calculation is performed on each invoice within BigTime, making it essential for firms that invoice through the platform. It provides insight into fee adjustments and helps in monitoring the accuracy of billing for professional services.""
}"
TskHrsBill,Total Hours (billable),8,<WC@VOCAB>PRJ_TASK</WC@VOCAB> (by assigned Staff Member),Total Hours (billable) to date.,"Field Name: TskHrsBill, Field Label: Total Hours (billable), View Type, 8, Description: Total Hours (billable) to date.","{
    ""Field Name"": ""TskHrsBill"",
    ""View Type"": 8,
    ""Description"": ""The 'Total Hours (billable)' report field represents the sum of all billable hours logged to date. It is used to monitor the total number of billable hours worked by the team on various projects, providing valuable insight into productivity and resource utilization for billing purposes.""
}"
TskHrsCompleteBill,% Completed (BillableHours/Est),8,<WC@VOCAB>PRJ_TASK</WC@VOCAB> (by assigned Staff Member),[Billable Hours Input] / [Estimated Hours] for the <WC@VOCAB>PRJ_TASK</WC@VOCAB>.  The figure returned in this column tells you what percentage of the estimated hours for this <WC@VOCAB>PRJ_TASK</WC@VOCAB> has been logged against with billable time.,"Field Name: TskHrsCompleteBill, Field Label: % Completed (BillableHours/Est), View Type, 8, Description: [Billable Hours Input] / [Estimated Hours] for the <WC@VOCAB>PRJ_TASK</WC@VOCAB>.  The figure returned in this column tells you what percentage of the estimated hours for this <WC@VOCAB>PRJ_TASK</WC@VOCAB> has been logged against with billable time.","{
    ""Field Name"": ""TskHrsCompleteBill"",
    ""View Type"": 8,
    ""Description"": ""[Billable Hours Input] / [Estimated Hours] for the project task. The figure returned in this column tells you what percentage of the estimated hours for this project task has been logged against with billable time.""
}"
TskHrsCompleteIN,% Completed (InputHours/Est),8,<WC@VOCAB>PRJ_TASK</WC@VOCAB> (by assigned Staff Member),[Actual Hours Input] / [Estimated Hours] for the <WC@VOCAB>PRJ_TASK</WC@VOCAB>.  The figure returned in this column tells you what percentage of the estimated hours for this <WC@VOCAB>PRJ_TASK</WC@VOCAB> has been input.,"Field Name: TskHrsCompleteIN, Field Label: % Completed (InputHours/Est), View Type, 8, Description: [Actual Hours Input] / [Estimated Hours] for the <WC@VOCAB>PRJ_TASK</WC@VOCAB>.  The figure returned in this column tells you what percentage of the estimated hours for this <WC@VOCAB>PRJ_TASK</WC@VOCAB> has been input.","{
    ""Field Name"": ""TskHrsCompleteIN"",
    ""View Type"": 8,
    ""Description"": ""The TskHrsCompleteIN report field represents the percentage of completed work based on actual hours input and estimated hours for the PRJ_TASK. It calculates the ratio of actual hours input to estimated hours, providing insight into the progress of the task and helping to track project efficiency and resource utilization.""
}"
TskHrsIN,Total Hours (Input),8,<WC@VOCAB>PRJ_TASK</WC@VOCAB> (by assigned Staff Member),Total Hours (Input) to date.,"Field Name: TskHrsIN, Field Label: Total Hours (Input), View Type, 8, Description: Total Hours (Input) to date.","{
    ""Field Name"": ""TskHrsIN"",
    ""View Type"": 8,
    ""Description"": ""The Total Hours (Input) report field provides the sum of all input hours recorded for tasks to date. It reports on the total number of hours logged against tasks, capturing the effort and time spent by staff on project-related activities. This information is used for tracking project progress, monitoring resource allocation, and analyzing the distribution of effort across different tasks and projects.""
}"
TskHrsNC,Total Non-Billable Hours,8,<WC@VOCAB>PRJ_TASK</WC@VOCAB> (by assigned Staff Member),Total Non-Billable Hours to date.,"Field Name: TskHrsNC, Field Label: Total Non-Billable Hours, View Type, 8, Description: Total Non-Billable Hours to date.","{
    ""Field Name"": ""TskHrsNC"", 
    ""View Type"": 8, 
    ""Description"": ""The Total Non-Billable Hours report field represents the cumulative number of non-billable hours recorded to date. Non-billable hours are those hours worked on tasks or activities that are not directly billable to clients. This report field is used to track and analyze the amount of time spent on non-billable work, providing insights into productivity, resource allocation, and the ability to forecast future non-billable hours.""
}"
TskHrsUBFee,"Hours Total (Marked ""Uninvoiced"")",8,<WC@VOCAB>PRJ_TASK</WC@VOCAB> (by assigned Staff Member),Total Unbilled Time (time not on invoice).  Does not include unsubmitted time.,"Field Name: TskHrsUBFee, Field Label: Hours Total (Marked ""Uninvoiced""), View Type, 8, Description: Total Unbilled Time (time not on invoice).  Does not include unsubmitted time.","{
    ""Field Name"": ""TskHrsUBFee"", 
    ""View Type"": 8, 
    ""Description"": ""The TskHrsUBFee report field represents the total unbilled time marked as 'Uninvoiced'. This field reports on the amount of time that has not been included on any invoice. It is used to track and manage unbilled time for accurate billing and revenue recognition. It is important to note that this field does not include unsubmitted time, only time that has not been invoiced.""
}"
TskInvChgBill,WIP Invoiced (fees only),8,<WC@VOCAB>PRJ_TASK</WC@VOCAB> (by assigned Staff Member),"A total of all time marked as ""invoiced"" in the system (note that this does not mean the invoice exists in the system, just that the entry has been marked as ""has been billed"")","Field Name: TskInvChgBill, Field Label: WIP Invoiced (fees only), View Type, 8, Description: A total of all time marked as ""invoiced"" in the system (note that this does not mean the invoice exists in the system, just that the entry has been marked as ""has been billed"")","{
    ""Field Name"": ""TskInvChgBill"",
    ""View Type"": 8,
    ""Description"": ""TskInvChgBill represents the WIP Invoiced (fees only) report field. This field reports the total amount of time that has been marked as 'invoiced' in the system for fees only. It does not necessarily indicate that the corresponding invoice exists in the system, but rather that the entry has been flagged as 'has been billed'. This information is valuable for tracking invoiced work in progress and monitoring the billing process for fee-based services.""
}"
TskInvExpBill,WIP Invoiced (expenses only),8,<WC@VOCAB>PRJ_TASK</WC@VOCAB> (by assigned Staff Member),"A total of all expenses marked as ""invoiced"" in the system (note that this does not mean the invoice exists in the system, just that the entry has been marked as ""has been billed"")","Field Name: TskInvExpBill, Field Label: WIP Invoiced (expenses only), View Type, 8, Description: A total of all expenses marked as ""invoiced"" in the system (note that this does not mean the invoice exists in the system, just that the entry has been marked as ""has been billed"")","{
    ""Field Name"": ""TskInvExpBill"",
    ""View Type"": 8,
    ""Description"": ""The report field TskInvExpBill displays the total amount of expenses that have been marked as 'invoiced' within the system. This does not necessarily indicate that an invoice exists in the system, but rather that the expense entry has been identified as 'billed.' This information is valuable for tracking work in progress (WIP) that has already been invoiced for expenses.""
}"
TskInvTotal,Total Invoiced,8,<WC@VOCAB>PRJ_TASK</WC@VOCAB> (by assigned Staff Member),"Total amount invoiced to date on each item.  Note that we pull this figure from the invoices for the <V>PROJECT</V> and not from the time/expense detail.  So, for this number to be accurate, you should be sub-totaling your invoices by <V>PRJ_TASK</V>.","Field Name: TskInvTotal, Field Label: Total Invoiced, View Type, 8, Description: Total amount invoiced to date on each item.  Note that we pull this figure from the invoices for the <V>PROJECT</V> and not from the time/expense detail.  So, for this number to be accurate, you should be sub-totaling your invoices by <V>PRJ_TASK</V>.","{
    ""Field Name"": ""TskInvTotal"",
    ""View Type"": 8,
    ""Description"": ""The Total Invoiced report field represents the total amount invoiced to date for each item. This figure is sourced from the invoices for the PROJECT and not from the time/expense detail. To ensure accuracy, sub-totaling of invoices by PRJ_TASK is necessary.""
}"
TskInvTotalExps,Total Expenses Invoiced,8,<WC@VOCAB>PRJ_TASK</WC@VOCAB> (by assigned Staff Member),"Total professional fees invoiced to date on each <V>PRJ_TASK</V>.  Note that we pull this figure from the invoices for the <V>PROJECT</V> and not from the time/expense detail.  So, for this number to be accurate, you should be sub-totaling your invoices by <V>PRJ_TASK</V> (so you can link each line item on your invoices to a specific <V>PRJ_TASK</V>).","Field Name: TskInvTotalExps, Field Label: Total Expenses Invoiced, View Type, 8, Description: Total professional fees invoiced to date on each <V>PRJ_TASK</V>.  Note that we pull this figure from the invoices for the <V>PROJECT</V> and not from the time/expense detail.  So, for this number to be accurate, you should be sub-totaling your invoices by <V>PRJ_TASK</V> (so you can link each line item on your invoices to a specific <V>PRJ_TASK</V>).","{
    ""Field Name"": ""TskInvTotalExps"",
    ""View Type"": 8,
    ""Description"": ""The TskInvTotalExps report field represents the total professional fees invoiced to date on each project task. This figure is derived from the invoices for the project and not from the time/expense detail. It is essential to sub-total the invoices by project task to ensure accuracy, allowing for linking each line item on the invoices to a specific project task.""
}"
TskInvTotalFees,Total Fees Invoiced,8,<WC@VOCAB>PRJ_TASK</WC@VOCAB> (by assigned Staff Member),"Total professional fees invoiced to date on each <V>PRJ_TASK</V>.  Note that we pull this figure from the invoices for the <V>PROJECT</V> and not from the time/expense detail.  So, for this number to be accurate, you should be sub-totaling your invoices by <V>PRJ_TASK</V> (so you can link each line item on your invoices to a specific <V>PRJ_TASK</V>).","Field Name: TskInvTotalFees, Field Label: Total Fees Invoiced, View Type, 8, Description: Total professional fees invoiced to date on each <V>PRJ_TASK</V>.  Note that we pull this figure from the invoices for the <V>PROJECT</V> and not from the time/expense detail.  So, for this number to be accurate, you should be sub-totaling your invoices by <V>PRJ_TASK</V> (so you can link each line item on your invoices to a specific <V>PRJ_TASK</V>).","{
    ""Field Name"": ""TskInvTotalFees"",
    ""View Type"": 8,
    ""Description"": ""The TskInvTotalFees report field represents the total professional fees invoiced to date on each task. This figure is pulled from the invoices for the project and not from the time/expense detail. To ensure accuracy, sub-total your invoices by task, allowing each line item on the invoices to be linked to a specific task.""
}"
TskMargin_ToDt,Overall Margin (<V>$</V>),8,<WC@VOCAB>PRJ_TASK</WC@VOCAB> (by assigned Staff Member),[Total Invoiced to Date] - ([Total Time Costs] + [Total Expense Costs]),"Field Name: TskMargin_ToDt, Field Label: Overall Margin (<V>$</V>), View Type, 8, Description: [Total Invoiced to Date] - ([Total Time Costs] + [Total Expense Costs])","{
    ""Field Name"": ""TskMargin_ToDt"",
    ""View Type"": 8,
    ""Description"": ""The TskMargin_ToDt report field calculates the overall margin by subtracting the total time costs and total expense costs from the total amount invoiced to date. This field provides a comprehensive view of the project's profitability and can help in evaluating financial performance and making informed business decisions.""
}"
TskMargin_ToDt_Pct,Overall Margin (Invoiced vs. Costs),8,<WC@VOCAB>PRJ_TASK</WC@VOCAB> (by assigned Staff Member),([Total Invoiced to Date] - ([Total Time Costs] + [Total Expense Costs])) / [Total Invoiced to Date],"Field Name: TskMargin_ToDt_Pct, Field Label: Overall Margin (Invoiced vs. Costs), View Type, 8, Description: ([Total Invoiced to Date] - ([Total Time Costs] + [Total Expense Costs])) / [Total Invoiced to Date]","{
    ""Field Name"": ""TskMargin_ToDt_Pct"",
    ""View Type"": 8,
    ""Description"": ""The Overall Margin (Invoiced vs. Costs) report field calculates the percentage of profit margin for a task or project. It is derived by subtracting the total costs (time and expense) from the total amount invoiced to date and then dividing the result by the total amount invoiced to date. This field provides a clear view of the overall profitability of a task or project by considering the difference between invoiced amounts and related costs.""
}"
TskProjectedCosts,Projected Costs,8,<WC@VOCAB>PRJ_TASK</WC@VOCAB> (by assigned Staff Member),"[Input Costs] + [Future Allocated Costs]. This field is the projected costs for this Task, calculated as the actual costs to date plus the projected costs going forward.","Field Name: TskProjectedCosts, Field Label: Projected Costs, View Type, 8, Description: [Input Costs] + [Future Allocated Costs]. This field is the projected costs for this Task, calculated as the actual costs to date plus the projected costs going forward.","{
    ""Field Name"": ""TskProjectedCosts"",
    ""View Type"": 8,
    ""Description"": ""The TskProjectedCosts report field represents the projected costs for a task. It is calculated as the sum of the actual costs to date plus the projected costs going forward, including future allocated costs. This field is useful for tracking and forecasting total costs for a specific task within a project.""
}"
TskProjectedFees,Projected Fees,8,<WC@VOCAB>PRJ_TASK</WC@VOCAB> (by assigned Staff Member),"[Input Fees] + [Future Allocated Fees]. This field is the projected budget for this <V>PRJ_TASK</V>, calculated as the actual fees for past periods plus the projected fees going forward.","Field Name: TskProjectedFees, Field Label: Projected Fees, View Type, 8, Description: [Input Fees] + [Future Allocated Fees]. This field is the projected budget for this <V>PRJ_TASK</V>, calculated as the actual fees for past periods plus the projected fees going forward.","{
    ""Field Name"": ""TskProjectedFees"", ""View Type"": 8, ""Description"": ""The TskProjectedFees report field represents the projected fees for a specific task in a project. It is calculated as the sum of the input fees and the future allocated fees, providing a projected budget for the task. This field is useful for tracking and managing the financial aspects of individual tasks within a project, helping to ensure that the project stays within budget.""
}"
TskProjectedFeesBillable,Projected Fees (Billable),8,<WC@VOCAB>PRJ_TASK</WC@VOCAB> (by assigned Staff Member),"[Billable Fees] + [Future Allocated Fees]. This field is the projected budget for this Task, calculated as the actual fees to date plus the projected fees going forward.","Field Name: TskProjectedFeesBillable, Field Label: Projected Fees (Billable), View Type, 8, Description: [Billable Fees] + [Future Allocated Fees]. This field is the projected budget for this Task, calculated as the actual fees to date plus the projected fees going forward.","{
    ""Field Name"": ""TskProjectedFeesBillable"",
    ""View Type"": 8,
    ""Description"": ""The TskProjectedFeesBillable report field represents the projected billable fees for a task. It is calculated as the sum of billable fees to date and the projected billable fees in the future. This field is used to monitor and forecast the budget for the task, providing valuable insights for financial planning and resource allocation.""
}"
TskProjectedHrs,Projected Budget,8,<WC@VOCAB>PRJ_TASK</WC@VOCAB> (by assigned Staff Member),"[Input Hours] + [Future Allocated Hours]. This field is the projected budget for this <V>PRJ_TASK</V>, calculated as the actual hours for past periods plus the projected hours going forward.","Field Name: TskProjectedHrs, Field Label: Projected Budget, View Type, 8, Description: [Input Hours] + [Future Allocated Hours]. This field is the projected budget for this <V>PRJ_TASK</V>, calculated as the actual hours for past periods plus the projected hours going forward.","{
    ""Field Name"": ""TskProjectedHrs"",
    ""View Type"": 8,
    ""Description"": ""The TskProjectedHrs report field, labeled as Projected Budget, reports on the projected budget for a specific project task. It is calculated by adding the input hours to the future allocated hours. This field is used to estimate the projected budget for a project task by considering both actual hours for past periods and the projected hours for future periods.""
}"
TskProjectedMargin,Projected Margin,8,<WC@VOCAB>PRJ_TASK</WC@VOCAB> (by assigned Staff Member),"[Billable Fees-Input Costs] + [Future Allocated Fees-Future Allocated Costs]. This field is the projected margins for this Task, calculated as the billable fees-input costs to date plus the allocated fees-allocated costs going forward.","Field Name: TskProjectedMargin, Field Label: Projected Margin, View Type, 8, Description: [Billable Fees-Input Costs] + [Future Allocated Fees-Future Allocated Costs]. This field is the projected margins for this Task, calculated as the billable fees-input costs to date plus the allocated fees-allocated costs going forward.","{
    ""Field Name"": ""TskProjectedMargin"",
    ""View Type"": 8,
    ""Description"": ""The TskProjectedMargin report field represents the projected margins for a specific task. It is calculated by subtracting the input costs from the billable fees to date, and then adding the future allocated fees to the future allocated costs. This field is useful for monitoring the expected profitability of a task and making informed decisions regarding resource allocation and project management.""
}"
TskRemainChgBill,Charges Remaining (Est-Billable Charges),8,<WC@VOCAB>PRJ_TASK</WC@VOCAB> (by assigned Staff Member),"[Dollars Estimated] - [Billable Dollars INPUT to Date].  Note that we are taking 'input dollars' from the time/expense details for the <V>PROJECT</V> (not from invoices).  Billable dollars is [Billable Hours]*[Billing Rate] for time charges, and just [Billable Charges] for expenses.","Field Name: TskRemainChgBill, Field Label: Charges Remaining (Est-Billable Charges), View Type, 8, Description: [Dollars Estimated] - [Billable Dollars INPUT to Date].  Note that we are taking 'input dollars' from the time/expense details for the <V>PROJECT</V> (not from invoices).  Billable dollars is [Billable Hours]*[Billing Rate] for time charges, and just [Billable Charges] for expenses.","{
    ""Field Name"": ""TskRemainChgBill"",
    ""View Type"": 8,
    ""Description"": ""The Charges Remaining (Est-Billable Charges) report field calculates the remaining estimated billable charges by subtracting the billable dollars input to date from the estimated dollars. The billable dollars are derived from the time and expense details for the project, not from the invoices. For time charges, billable dollars are calculated as the product of billable hours and billing rate, while for expenses, billable dollars correspond to billable charges.""
}"
TskRemainChgIn,Charges Remaining (Est-Input Charges),8,<WC@VOCAB>PRJ_TASK</WC@VOCAB> (by assigned Staff Member),"[Dollars Estimated]-[Actual Dollars Input].  Note that we're pulling the input charges from time/expense details, and that we're using the input/cost dollar amount (not the 'billable' dollar amount) for each entry.","Field Name: TskRemainChgIn, Field Label: Charges Remaining (Est-Input Charges), View Type, 8, Description: [Dollars Estimated]-[Actual Dollars Input].  Note that we're pulling the input charges from time/expense details, and that we're using the input/cost dollar amount (not the 'billable' dollar amount) for each entry.","{
    ""Field Name"": ""TskRemainChgIn"", ""View Type"": 8, ""Description"": ""The TskRemainChgIn report field calculates the remaining charges by subtracting the actual input dollar amount from the estimated dollar amount. This field pulls input charges from time/expense details and uses the input/cost dollar amount for each entry, not the billable dollar amount. It is useful for tracking and managing remaining charges in professional service projects.""
}"
